Episode,GlobalStep,EpisodeStep,FoodLevel,WaterLevel,ThermoLevel,HealthLevel,PositionX,PositionY,PositionZ,Action,Reward,DistanceTraveled,IsEpisodeEnd,HasCollision,ResourceConsumed,ConsumedResourceType,HasEvent,EventType
1,1,1,6.99,-7.01,0.00,100.00,0.00,1.00,0.00,None,0.00,0.00,False,False,False,none,False,
1,2,2,6.97,-7.02,0.00,100.00,0.00,1.00,0.00,None,-0.66,0.00,False,False,False,none,False,
1,3,3,6.96,-7.03,0.00,100.00,0.00,1.00,0.00,None,-0.66,0.00,False,False,False,none,False,
1,4,4,6.95,-7.04,0.00,100.00,0.00,1.00,0.00,None,-0.66,0.00,False,False,False,none,False,
1,5,5,6.93,-7.04,0.00,100.00,0.00,1.00,0.00,None,-0.66,0.00,False,False,False,none,False,
1,6,6,6.92,-7.05,0.00,100.00,0.00,1.00,0.00,None,-0.66,0.00,False,False,False,none,False,
1,7,7,6.91,-7.06,0.00,100.00,0.00,1.00,0.00,None,-0.66,0.00,False,False,False,none,False,
1,8,8,6.89,-7.07,0.00,100.00,0.00,1.00,0.00,None,-0.66,0.00,False,False,False,none,False,
1,9,9,6.88,-7.08,0.00,100.00,0.00,1.00,0.00,Left,-0.66,0.00,False,False,False,none,False,
1,10,10,6.86,-7.09,0.00,100.00,0.00,1.00,0.00,None,-0.66,0.00,False,False,False,none,False,
1,11,11,6.85,-7.10,0.00,100.00,0.00,1.00,0.00,Left,-0.66,0.00,False,False,False,none,False,
1,12,12,6.84,-7.11,0.00,100.00,0.00,1.00,0.00,None,-0.66,0.00,False,False,False,none,False,
1,13,13,6.82,-7.12,0.00,100.00,0.00,1.00,0.00,Left,-0.66,0.00,False,False,False,none,False,
1,14,14,6.81,-7.13,0.00,100.00,0.00,1.00,0.00,Left,-0.66,0.00,False,False,False,none,False,
1,15,15,6.80,-7.13,0.00,100.00,0.00,1.00,0.00,None,-0.66,0.00,False,False,False,none,False,
1,16,16,6.78,-7.14,0.00,100.00,0.00,1.00,0.00,Left,-0.66,0.00,False,False,False,none,False,
1,17,17,6.77,-7.15,0.00,100.00,0.00,1.00,0.00,None,-0.66,0.00,False,False,False,none,False,
1,18,18,6.76,-7.16,0.00,100.00,0.00,1.00,0.00,Left,-0.66,0.00,False,False,False,none,False,
1,19,19,6.74,-7.17,0.00,100.00,0.00,1.00,0.00,Left,-0.66,0.00,False,False,False,none,False,
1,20,20,6.73,-7.18,0.00,100.00,0.00,1.00,0.00,None,-0.66,0.00,False,False,False,none,False,
1,21,21,6.72,-7.19,0.00,100.00,0.00,1.00,0.00,Left,-0.66,0.00,False,False,False,none,False,
1,22,22,6.70,-7.20,0.00,100.00,0.00,1.00,0.00,None,-0.66,0.00,False,False,False,none,False,
1,23,23,6.69,-7.21,0.00,100.00,0.00,1.00,0.00,Forward,-0.66,0.00,False,False,False,none,False,
1,24,24,6.68,-7.22,0.00,100.00,1.83,1.00,0.39,Forward,-0.66,1.87,False,False,False,none,False,
1,25,25,6.66,-7.22,0.00,100.00,3.66,1.00,0.78,Forward,-0.66,1.87,False,False,False,none,False,
1,26,26,6.65,-7.23,0.00,100.00,5.49,1.00,1.17,Forward,-0.66,1.87,False,False,False,none,False,
1,27,27,6.64,-7.24,0.00,100.00,7.32,1.00,1.56,Forward,-0.66,1.87,False,False,False,none,False,
1,28,28,6.62,-7.25,0.00,100.00,9.15,1.00,1.95,Forward,-0.65,1.87,False,False,False,none,False,
1,29,29,6.61,-7.26,0.00,100.00,10.99,1.00,2.34,None,-0.65,1.87,False,False,False,none,False,
1,30,30,6.59,-7.27,0.00,100.00,10.99,1.00,2.34,Forward,-0.65,0.00,False,False,False,none,False,
1,31,31,-7.00,7.00,0.00,100.00,12.47,1.00,2.65,,-0.65,1.51,False,False,False,none,True,resource
1,32,32,-7.01,6.99,0.00,100.00,12.82,1.00,2.72,Forward,-0.65,0.36,False,False,False,none,False,
1,33,33,-7.03,6.98,0.00,100.00,14.65,1.00,3.11,None,-0.66,1.87,False,False,False,none,False,
1,34,34,-7.04,6.97,0.00,100.00,14.65,1.00,3.11,Right,-0.66,0.00,False,False,False,none,False,
1,35,35,-7.05,6.96,0.00,100.00,14.65,1.00,3.11,Right,-0.66,0.00,False,False,False,none,False,
1,36,36,-7.07,6.96,0.00,100.00,14.65,1.00,3.11,Right,-0.66,0.00,False,False,False,none,False,
1,37,37,-7.08,6.95,0.00,100.00,14.65,1.00,3.11,Right,-0.66,0.00,False,False,False,none,False,
1,38,38,-7.09,6.94,0.00,100.00,14.65,1.00,3.11,Right,-0.66,0.00,False,False,False,none,False,
1,39,39,-7.11,6.93,0.00,100.00,14.65,1.00,3.11,Right,-0.66,0.00,False,False,False,none,False,
1,40,40,-7.12,6.92,0.00,100.00,14.65,1.00,3.11,Right,-0.66,0.00,False,False,False,none,False,
1,41,41,-7.14,6.91,0.00,100.00,14.65,1.00,3.11,Right,-0.66,0.00,False,False,False,none,False,
1,42,42,-7.15,6.90,0.00,100.00,14.65,1.00,3.11,None,-0.66,0.00,False,False,False,none,False,
1,43,43,-7.16,6.89,0.00,100.00,14.65,1.00,3.11,Forward,-0.66,0.00,False,False,False,none,False,
1,44,44,-7.18,6.88,0.00,100.00,12.78,1.00,3.11,Forward,-0.66,1.87,False,False,False,none,False,
1,45,45,-7.19,6.87,0.00,100.00,10.90,1.00,3.11,Forward,-0.66,1.87,False,False,False,none,False,
1,46,46,-7.20,6.87,0.00,100.00,9.03,1.00,3.11,Forward,-0.66,1.87,False,False,False,none,False,
1,47,47,-7.22,6.86,0.00,100.00,7.16,1.00,3.11,Forward,-0.66,1.87,False,False,False,none,False,
1,48,48,-7.23,6.85,0.00,100.00,5.29,1.00,3.11,Forward,-0.66,1.87,False,False,False,none,False,
1,49,49,-7.24,6.84,0.00,100.00,3.42,1.00,3.11,Forward,-0.66,1.87,False,False,False,none,False,
1,50,50,-7.26,6.83,0.00,100.00,1.54,1.00,3.11,Forward,-0.66,1.87,False,False,False,none,False,
1,51,51,-7.27,6.82,0.00,100.00,-0.33,1.00,3.11,Forward,-0.66,1.87,False,False,False,none,False,
1,52,52,-7.28,6.81,0.00,100.00,-2.20,1.00,3.11,Forward,-0.66,1.87,False,False,False,none,False,
1,53,53,-7.30,6.80,0.00,100.00,-4.07,1.00,3.11,Forward,-0.66,1.87,False,False,False,none,False,
1,54,54,-7.31,6.79,0.00,100.00,-5.94,1.00,3.11,Forward,-0.67,1.87,False,False,False,none,False,
1,55,55,-7.32,6.78,0.00,100.00,-7.81,1.00,3.11,Forward,-0.67,1.87,False,False,False,none,False,
1,56,56,-7.34,6.78,0.00,100.00,-9.69,1.00,3.11,Forward,-0.67,1.87,False,False,False,none,False,
1,57,57,-7.35,6.77,0.00,100.00,-11.56,1.00,3.11,Forward,-0.67,1.87,False,False,False,none,False,
1,58,58,-7.36,6.76,0.00,100.00,-13.43,1.00,3.11,Forward,-0.67,1.87,False,False,False,none,False,
1,59,59,-7.38,6.75,0.00,100.00,-15.30,1.00,3.11,Forward,-0.67,1.87,False,False,False,none,False,
1,60,60,-7.39,6.74,0.00,100.00,-17.17,1.00,3.11,None,-0.67,1.87,False,False,False,none,False,
1,61,61,-7.41,6.73,0.00,100.00,-17.17,1.00,3.11,None,-0.67,0.00,False,False,False,none,False,
1,62,62,-7.42,6.72,0.00,100.00,-17.17,1.00,3.11,Forward,-0.67,0.00,False,False,False,none,False,
1,63,63,-7.43,6.71,0.00,100.00,-19.05,1.00,3.11,Forward,-0.67,1.87,False,False,False,none,False,
1,64,64,-7.45,6.70,0.00,100.00,-20.92,1.00,3.11,Left,-0.67,1.87,False,False,False,none,False,
1,65,65,-7.46,6.69,0.00,100.00,-20.92,1.00,3.11,None,-0.67,0.00,False,False,False,none,False,
1,66,66,-7.47,6.69,0.00,100.00,-20.92,1.00,3.11,Forward,-0.67,0.00,False,False,False,none,False,
1,67,67,-7.49,6.68,0.00,100.00,-22.63,1.00,2.35,None,-0.67,1.87,False,False,False,none,False,
1,68,68,-7.50,6.67,0.00,100.00,-22.63,1.00,2.35,None,-0.67,0.00,False,False,False,none,False,
1,69,69,-7.51,6.66,0.00,100.00,-22.63,1.00,2.35,Forward,-0.67,0.00,False,False,False,none,False,
1,70,70,-7.53,6.65,0.00,100.00,-23.80,1.00,1.74,None,-0.67,1.32,False,False,False,none,False,
1,71,71,-7.54,6.64,0.00,100.00,-23.80,1.00,1.74,None,-0.67,0.00,False,False,False,none,False,
1,72,72,-7.55,6.63,0.00,100.00,-23.80,1.00,1.74,None,-0.67,0.00,False,False,False,none,False,
1,73,73,-7.57,6.62,0.00,100.00,-23.80,1.00,1.74,None,-0.67,0.00,False,False,False,none,False,
1,74,74,-7.58,6.61,0.00,100.00,-23.80,1.00,1.74,None,-0.67,0.00,False,False,False,none,False,
1,75,75,-7.59,6.60,0.00,100.00,-23.80,1.00,1.74,None,-0.67,0.00,False,False,False,none,False,
1,76,76,-7.61,6.60,0.00,100.00,-23.80,1.00,1.74,Eat,-0.67,0.00,False,False,False,none,False,
1,77,77,-7.61,6.60,0.00,100.00,-23.80,1.00,1.74,Eat_Food,-0.67,0.00,True,False,True,food,False,
2,78,1,9.99,-7.01,0.00,100.00,0.00,1.00,0.00,None,-0.67,23.87,False,False,True,food,False,
2,79,2,9.97,-7.02,0.00,100.00,0.00,1.00,0.00,None,-0.81,0.00,False,False,False,none,False,
2,80,3,9.96,-7.03,0.00,100.00,0.00,1.00,0.00,None,-0.81,0.00,False,False,False,none,False,
2,81,4,9.95,-7.04,0.00,100.00,0.00,1.00,0.00,None,-0.81,0.00,False,False,False,none,False,
2,82,5,9.93,-7.04,0.00,100.00,0.00,1.00,0.00,Left,-0.81,0.00,False,False,False,none,False,
2,83,6,9.92,-7.05,0.00,100.00,0.00,1.00,0.00,Left,-0.81,0.00,False,False,False,none,False,
2,84,7,9.91,-7.06,0.00,100.00,0.00,1.00,0.00,Left,-0.81,0.00,False,False,False,none,False,
2,85,8,9.89,-7.07,0.00,100.00,0.00,1.00,0.00,Left,-0.81,0.00,False,False,False,none,False,
2,86,9,9.88,-7.08,0.00,100.00,0.00,1.00,0.00,Left,-0.81,0.00,False,False,False,none,False,
2,87,10,9.86,-7.09,0.00,100.00,0.00,1.00,0.00,Left,-0.81,0.00,False,False,False,none,False,
2,88,11,9.85,-7.10,0.00,100.00,0.00,1.00,0.00,None,-0.81,0.00,False,False,False,none,False,
2,89,12,9.84,-7.11,0.00,100.00,0.00,1.00,0.00,Left,-0.81,0.00,False,False,False,none,False,
2,90,13,9.82,-7.12,0.00,100.00,0.00,1.00,0.00,None,-0.81,0.00,False,False,False,none,False,
2,91,14,9.81,-7.13,0.00,100.00,0.00,1.00,0.00,Left,-0.81,0.00,False,False,False,none,False,
2,92,15,9.80,-7.13,0.00,100.00,0.00,1.00,0.00,None,-0.81,0.00,False,False,False,none,False,
2,93,16,9.78,-7.14,0.00,100.00,0.00,1.00,0.00,Forward,-0.81,0.00,False,False,False,none,False,
2,94,17,9.77,-7.15,0.00,100.00,1.83,1.00,0.39,Forward,-0.81,1.87,False,False,False,none,False,
2,95,18,9.76,-7.16,0.00,100.00,3.66,1.00,0.78,Forward,-0.81,1.87,False,False,False,none,False,
2,96,19,9.74,-7.17,0.00,100.00,5.49,1.00,1.17,Forward,-0.81,1.87,False,False,False,none,False,
2,97,20,9.73,-7.18,0.00,100.00,7.32,1.00,1.56,Forward,-0.81,1.87,False,False,False,none,False,
2,98,21,9.72,-7.19,0.00,100.00,9.15,1.00,1.95,Forward,-0.81,1.87,False,False,False,none,False,
2,99,22,9.70,-7.20,0.00,100.00,10.99,1.00,2.34,None,-0.81,1.87,False,False,False,none,False,
2,100,23,9.69,-7.21,0.00,100.00,10.99,1.00,2.34,Forward,-0.81,0.00,False,False,False,none,False,
2,101,24,-7.00,7.00,0.00,100.00,12.47,1.00,2.65,,-0.81,1.51,False,False,False,none,True,resource
2,102,25,-7.01,6.99,0.00,100.00,12.82,1.00,2.72,None,-0.81,0.36,False,False,False,none,False,
2,103,26,-7.03,6.98,0.00,100.00,12.82,1.00,2.72,Right,-0.66,0.00,False,False,False,none,False,
2,104,27,-7.04,6.97,0.00,100.00,12.82,1.00,2.72,Right,-0.66,0.00,False,False,False,none,False,
2,105,28,-7.05,6.96,0.00,100.00,12.82,1.00,2.72,Right,-0.66,0.00,False,False,False,none,False,
2,106,29,-7.07,6.96,0.00,100.00,12.82,1.00,2.72,Right,-0.66,0.00,False,False,False,none,False,
2,107,30,-7.08,6.95,0.00,100.00,12.82,1.00,2.72,Right,-0.66,0.00,False,False,False,none,False,
2,108,31,-7.09,6.94,0.00,100.00,12.82,1.00,2.72,Right,-0.66,0.00,False,False,False,none,False,
2,109,32,-7.11,6.93,0.00,100.00,12.82,1.00,2.72,Right,-0.66,0.00,False,False,False,none,False,
